formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
																
안녕하세요. 저는 야구 선수입니다.	안녕. 나는 야구 선수야.			하이, 난 야구 선수임	ㅎㅇ 난 야구 선수임						ㅎㅇ 난 야구선수임					
안녕하세요, 어느 팀에서 뛰시나요?	안녕, 어느 팀에서 뛰어?			하이, 어느 팀에서 뛰고있음?	ㅎㅇ 어느 팀 소속임?						ㅎㅇ 어느 팀에서 뛰냐					
뉴욕 양키스에 속해 있습니다.	뉴욕 양키스에 속해 있어.			뉴욕 양키스에 속해 있음	뉴욕 양키스						뉴욕 양키스 소속임 왜					
그 팀에 대해 들어본 것 같아요. 뉴욕에 있는 팀인가요?	그 팀에 대해 들어본 것 같아. 뉴욕에 있는 팀이지?			그 팀에 대해 들어본 거 같음. 뉴욕에 있는 팀 맞지?	그 팀 들어본 듯 뉴욕에 있는 팀?						그팀 들어본듯 뉴욕에 있는 팀이지?					
네, 이름부터 뉴욕 양키스입니다.	응, 이름부터 뉴욕 양키스잖아.			ㅇㅇ 이름부터 뉴욕 양키스잖음 ㅋㅋㅋ	ㅇㅇ 이름부터 뉴욕 양키스잖						ㅇ 이름부터 뉴욕양키스인데 ㅡㅡ					
야구를 잘 하는 팀인가요?	야구를 잘 하는 팀이야?			야구 잘하는 팀임?	야구 잘하는 팀임?						야구 잘하는 팀이냐					
성적이 좋기로 유명한 팀입니다. 정말 뉴욕 양키스를 모르시나요?	성적이 좋기로 유명한 팀이야. 정말 뉴욕 양키스를 몰라?			성적 좋은 유명한 팀이지. 진짜 뉴욕 양키스 모름?	성적 좋기로 유명하지 ㄹㅇ 모름?						성적 좋기로 유명함. 진짜 뉴욕양키스도 모름? ㅡㅡ					
농담입니다. 사실은 알고 있어요.	농담이야. 사실은 알고 있어.			농담임. 사실 알고 있음 ㅋㅋ	농담임 사실 알고 있음						농담임 사실 암					
아, 순간 진짜 모르시는 줄 알고 깜짝 놀랐어요.	아, 진짜 모르는 줄 알고 깜짝 놀랐어.			아 진짜 모르는 줄 알고 놀랬잖어 ㅋㅋㅋㅋㅋ	아 ㄹㅇ 모르는 줄 알고 깜짝 놀랐누						ㅇㅎ 진짜 모르는줄알고 개놀랬네					
뉴욕 양키스를 모르는 사람이 있나요?	뉴욕 양키스를 모르는 사람이 있을까?			뉴욕 양키스 모르는 사람이 있으려나?	뉴욕 양키스 모르는 사람이 어딨음						뉴욕양키스 모르는 사람도 있냐 ㅡㅡ					
적어도 제가 아는 사람중에는 모르는 사람이 없습니다.	적어도 내가 아는 사람중에는 모르는 사람이 없어.			적어도 내가 아는 사람중엔 모르는 사람 없었음	적어도 내가 아는 새럼 중엔 없음						적어도 내가 아는 사람중에선 모르는 사람 없음					
제가 알기로는 해외에 있는 사람들도 뉴욕 양키스가 뭔지 압니다.	내가 알기로는 해외에 있는 사람들도 뉴욕 양키스가 뭔지 알아.			내가 알기론 외국인들도 뉴욕 양키스가 뭔지는 알아 ㅋㅋ	해외에 있는 사람들도 뉴욕 양키스는 알듯						내가 알기로는 외국인들도 뉴욕 양키스 뭔지 암 ㅡㅡ					
																
야구공은 어떻게 만드는 걸까요?	야구공은 어떻게 만드는 걸까?			야구공은 어케 만드는 걸까?	야구공은 어케 만드는 걸까						야구공 어떻게 만드냐					
저는 잘 모르겠습니다. 왜 알고싶으세요?	나는 잘 모르겠지만. 왜 알고싶어?			나도 잘 모르겠는데, 왜 알고싶음?	난 잘 모르지만 왜?						ㅁㄹ 왜 궁금한데					
저번에 야구공에 맞았는데, 은근 아픈 것 같아요.	저번에 야구공에 맞았는데, 은근 아픈 것 같아.			저번에 야구공에 맞았는데 은근 아픈 거 같아서 ㅋㅋ;;;	전에 야구공에 맞았는데 은근 아픔						저번에 야구공에 맞았는데 은근 아픔					
어디 부러졌나요?	어디 부러졌어?			어디 부러짐?	어디 부러짐?						어디 부러지기라도 함?					
아니요, 하지만 멍은 들었어요.	아니, 하지만 멍은 들었어.			ㄴㄴ 근데 멍 듬…	ㄴㄴ 근데 멍은 듦						ㄴ 근데 멍은 듬 왜					
야구공을 어떻게 만드는 지 궁금하실 때가 아니라 병원에 가보셔야 할 것 같습니다.	야구공을 어떻게 만드는 지 궁금할 때가 아니라 병원에 갈 때 같은데.			야구공을 어케 만드는지를 궁금해 할 때가 아니라 병원에 갈 때 같은데;;;	야구공을 어케 만드는지 궁금할 때가 아니라 병원을 가야할 거 같은데						야구공 어떻게 만드는지 궁금할 때냐 ㅡㅡ 병원이나 가야지					
																
이번에 여행을 가려고 하는데, 추천해줄 수 있느 곳이 있나요?	이번에 여행을 가려고 하는데, 추천해줄 수 있는 곳이 있어?			이번에 여행 가려고 하는데 추천해 줄 수 있는 곳 있음?	이번에 여행 가려는데 추천할 곳 있음?						이번에 여행 갈라그러는데 어디 추천해줄 수 있냐					
로키 산맥을 가본 적은 있으신가요?	로키 산맥을 가본 적은 있어?			로키 산맥 가본 적 있음?	로키 산맥 가봄?						로키산맥은 가봤냐					
한번도 가보지 않았습니다. 	한번도 가보지 않았어. 			한번도 안가봤음	ㄴㄴ 한번도 안가봄						한번도 안가봄					
죽기 전에 곡 한번 들르는 것을 추천드립니다.	죽기 전에 곡 한번 들르는 것을 추천해.			죽기 전에 꼭 한번 가는 거 추천한다 ㅋㅋ	죽기 전에 한번 가보는 거 추천						죽기전에 꼭 한번 들려라					
가게 되면 여행일정을 얼마나 길게 잡아야할까요?	가게 되면 여행일정을 얼마나 길게 잡아야 할까?			가게 되면 여행일정을 얼마나 길게 잡아야함?	가게 되면 얼마나 있다 와야 할까나						가게되면 여행일정 얼마나 길게 잡아야되냐					
적어도 2주는 있어야 하지만, 빠르면 일주일 안으로도 즐기실 수 있을거에요.	적어도 2주는 있어야 하지만, 빠르면 일주일 안으로도 즐길 수 있어.			적어도 2주는 있어야 하는데 빠르면 일주일 안으로도 즐길 수 있음?	적어도 2주? 빠르면 일주일 안으로도 ㄱㄴ						적어도 2주는 있어야되는데 빠르면 1주 안으로도 가능					
로키 산맥에서는 뭘 할 수 있어요?	로키 산맥에서는 뭘 할 수 있어?			로키 산맥 가면 뭐 할 수 있음?	로키 산맥에선 뭐함?						로키산맥에서 뭐 할수 있는데 그럼 ㅡㅡ					
일단 로키 산맥 초입에서는 카누를 탈 수 있어요.	일단 로키 산맥 초입에서는 카누를 탈 수 있어.			일단 로키 산맥 초입에선 카누 탈 수 있음	일단 로키 산맥 초입에서 카누 탈 수 있음						로키 산맥 초입에선 카누 타는거 가능					
카누도 안해본 지 오래된 것 같아요.	카누도 안해본 지 오래된 것 같아.			카누도 안해본 지 오래된 거 같음	카누 안해본지 오래된 듯						카누 안타본지 오래됨					
로키 산맥은 만년설이 녹은 물이라서 강이 깨끗하기로 유명해요.	로키 산맥은 만년설이 녹은 물이라서 강이 깨끗하기로 유명해.			로키 산맥은 만년설이 녹은 물이여가지고 강이 깨끗한걸로 유명함!	로키 산맥은 만년설이 녹은 물이라 강이 깨끗하기로 유명함						로키산맥은 만년설 녹은 물이라 강 깨끗하다					
물이 맑고 예쁘겠네요.	물이 맑고 예쁘겠네.			물이 말고 예쁘겠다	물이 맑고 예쁘겟다						물 맑고 이쁘겠네 ㅋ					
네, 그리고 산에 있는 미네랄들을 다량 함유하고 있어서 물이 아름다운 파란색입니다.	응, 그리고 산에 있는 미네랄들을 다량 함유하고 있어서 물이 아름다운 파란색이이야.			ㅇㅇ 그리고 산에 있는 미네랄들 많이 들어있어서 물이 이쁜 파란색임!	ㅇㅇ 글고 산에 있는 미네랄을 다량 함유하고 있어서 물이 아름다운 파란색임						ㅇ 그리고 산에 있는 미네랄 함유하고 있어서 물이 이쁜 파랑임					
근데 만년설이 녹은 물이면 차갑지 않을까요?	근데 만년설이 녹은 물이면 차갑지 않을까?			근데 만년설이 녹은 물이면 차갑지 않음?	근데 만년설이 녹은 물이면 차갑지 않음?						근데 만년설 녹은 물이면 차갑겠지 ㅡㅡ					
실제로 굉장히 차갑습니다. 준비를 철저하게 하고 가지 않으면 물에 빠졌을 때 동상에 걸리실 수 있어요.	실제로 굉장히 차가워. 준비를 철저하게 하고 가지 않으면 물에 빠졌을 때 동상에 걸릴 수 있어.			실제로 엄청 차가움 ㅋㅋ 준비 제대로 안하고 가면 물에 빠졌을 때 동상 걸릴수도 있음 ㅋㅋㅋ	ㄹㅇ 개 차가움 준비를 철저하게 하고 안가면 물 빠졌을 때 동상 걸릴 수 있음						실제로 차가움. 준비 철저하게 안하고가면 물에 빠졌을 때 동상 걸린다					
정확히 얼마나 물이 차갑나요?	정확히 얼마나 물이 차가워?			정확히 물이 얼마나 차가움?	정확하게 얼마나 차가움?						정확히 얼마나 물이 차갑단 소린데					
물이 얼 만큼 차갑지는 않지만, 제가 기억하기로는 3도 내지 4도 정도 합니다.	물이 얼 만큼 차갑지는 않지만, 내가 기억하기로는 3도 내지 4도 정도 해.			물이 얼 정도로 차진 않은데, 내 기억상 3도에서 4도 정도 됨	물이 얼만큼은 아닌데 내가 기억하기론 3도에서 4도 정도?						물이 얼 만큼 차갑진 않은데 내기억에는 3도에서 4도 정도인듯					
카누를 탈 때 배가 전복되지 않도록 조심해야하겠네요.	카누를 탈 때 배가 전복되지 않도록 조심해야하겠네.			카누 탈 때 배 전복되지 않게 조심해야겠네 ㄷㄷ	카누 탈 때 배 전복되지 않도록 조심해야겠누						카누 탈 때 배가 전복되면 안되겠네					
또 강을 타고 내려가면서 폭포들도 많이 볼 수 있을거에요.	또 강을 타고 내려가면서 폭포들도 많이 볼 수 있을거야			또 강 타고 내려가면서 폭포도 많이 볼 수 있을거임	또 강 타고 내려가면서 폭포들도 많이 볼 수 있음						또 강타고 내려가면서 폭포들도 많이 보임					
로키 산맥의 폭포가 장관이라고 들었습니다. 	로키 산맥의 폭포가 장관이라고 들었어. 			로키 산맥 폭포가 장관이라고 하던데	로키 산맥의 폭포가 장관이라던대						로키산맥 폭포가 장관이라고 듣긴 함					
산맥의 나이가 적어서, 로키 산맥의 폭포들은 훨씬 역동적이고 강렬한 인상을 남겨요.	산맥의 나이가 적어서, 로키 산맥의 폭포들은 훨씬 역동적이고 강렬한 인상을 남겨.			산맥의 나이가 적어서 로키 산맥 폭포들 훨씬 역동적이고 인상 강렬함 ㅋㅋㅋ	산맥의 나이가 적어서 로키 산맥의 폭포들은 훨씬 역동적이고 강렬한 인상이지						산맥 나이가 적어서 로키산맥 폭포들이 훨씬 역동적이고 강한 인상 남기긴 함					
카누를 타면서 곰같은 동물을 조심해야 하기도 하나요?	카누를 타면서 곰같은 동물을 조심해야 하기도 해?			카누 타면서 공같은 동물들 조심해야함?	카누 타면서 곰같은 동물 조심도 해야함?						카누 타면서 곰같은 동물들도 조심해야되냐					
로키 산맥에는 곰이나 늑대같은 맹수들도 많이 살고 있지만, 강 한가운데 있는 사람을 공격하지는 않을 것에요. 오히려 보이면 좋지 않을까요?	로키 산맥에는 곰이나 늑대같은 맹수들도 많이 살고 있지만, 강 한가운데 있는 사람을 공격하지는 않을 거야. 오히려 보이면 좋지 않을까?			로키 산맥에 곰이나 늑대같은 맹수들도 많이 살고는 있는데, 강 한가운데 있는 사람을 공격하지는 않을거임 ㅋㅋ 오히려 보이면 좋지 않을까? ㅋㅋ	로키 산맥엔 곰이나 늑대같은 맹수들도 많이 살고 있는데 강 한가운데 있는 사람을 공격하진 않을 듯 오히려 보면 좋지 않을까?						로키산맥에는 곰이나 늑대같은 맹수들도 많이 살긴 하는데 강 한가운데 있는 사람은 공격 안한다 ㅡㅡ 오히려 보이면 좋을듯					
강가에 곰을 보게 되면 꼭 사진을 찍어서 오겠습니다.	강가에 곰을 보게 되면 꼭 사진을 찍어서 올게.			강가에 곰 보게 되면 꼭 사진 찍어서 올림 ㅎㅎ	강가에 곰 보게 되면 사진 꼭 찍어올게						강가에서 곰 보면 사진찍어옴 그럼					
초입에서 카누를 타고 나서는, 이제 로키 산맥을 본격적으로 즐길 수 있을 겁니다.	초입에서 카누를 타고 나서는, 이제 로키 산맥을 본격적으로 즐길 수 있을 거야.			초입에서 카누타고 나선 로키 산맥 제대로 즐길 수 있을 거임 ㅋㅋㅋ	초입에서 카누 타고 나서 이제 로키 산맥 본격적으로 즐길 수 있음						초입에서 카누 타면 이제 로키산맥 본격적으로 즐길 수 있음					
로키 산맥 내부에서는 뭘 할 수 있나요?	로키 산맥 내부에서는 뭘 할 수 있어?			로키 산맥 내부에선 뭐 할 수 있음?	로키 산맥 내부에선 뭐함?						로키산맥 내부에선 뭐 할 수 있는데 ㅡㅡ					
산의 이름에 걸맞게 암벽 등반을 즐기실 수 있고, 암벽등반을 하지 못한다 하더라도 등산로가 많이 준비되어 있습니다.	산의 이름에 걸맞게 암벽 등반을 즐길 수 있고, 암벽등반을 하지 못한다 하더라도 등산로가 많이 준비되어 있어.			산의 이름에 걸맞게 암벽 등반 즐길 수 있고, 암벽 등반 못하더라도 등산로가 많이 있음	산의 이름에 걸맞게 암벽 등반도 할 수 있고 암벽 등반 못해도 등산로가 많이 준비되어 있음						산 이름에 맞게 암벽등반도 할 수 있도 암벽등반 못해도 등산로 많다					
추천하는 등산 루트를 알려주세요.	추천하는 등산 루트를 알려줘.			추천하는 등산 루트 좀 알려줘 ㅋㅋ	추천하는 등산 루트 있음?						등산 루트 추천좀 해봐					
저도 이름은 까먹었는데, 산맥 중간에 일반인도 만년설을 밟을 수 있는 루트가 있어요. 	나도 이름은 까먹었는데, 산맥 중간에 일반인도 만년설을 밟을 수 있는 루트가 있어. 			나도 이름은 까먹었는데 산맥 중간에 일반인도 만년설 밟을 수 있는 루트 있음	나도 이름은 까먹었는데, 산맥 중간에 일반인도 만년설을 밟을 수 있는 루트가 있음						나도 이름은 까먹었는데 산맥 중간에 일반인도 만년설 밟을 수 있는 루트 있음					
만년설을 먹어보고 싶었는데, 꼭 그 루트를 확인해봐야겠네요.	만년설을 먹어보고 싶었는데, 꼭 그 루트를 확인해봐야겠네.			만년설 먹어보고 싶었는뎅 그 루트 꼭 확인해야겠다	만년설 먹어보고 싶었는데 꼭 그 루트 확인해봐야겟누						만년설 먹어보고 싶었는데 루트 확인해봐야겠네					
																
안녕하세요. 요즘 뭘 하고 있어요?	안녕. 요즘 뭘 하고 있어?			하이~ 요즘 뭐하고 지냄?	ㅎㅇ 요즘 뭐함?						ㅎㅇ 뭐하고 사냐					
안녕하세요. 최근에는 피아노를 시작했어요.	안녕. 최근에는 피아노를 시작했어.			하이 최근에 피아노 시작함	ㅎㅇ 최근에 피아노 시작함						ㅎㅇ 최근에 피아노 시작함					
저는 최근에 근육을 키우기 시작했습니다.	나는 최근에 근육을 키우기 시작했어.			난 최근에 근육 키우기 시작함	난 최근에 근육 키우기 시작함						난 최근에 근육 키우기 시작함					
헬스장에 가시나요? 저는 주로 밖에서 운동합니다.	헬스장에 가? 나는 주로 밖에서 운동해.			헬스장 감? 난 보통 밖에서 운동함	쇠질하러 감? 난 주로 밖에서 운동함						헬스장 가냐? 난 주로 밖에서 운동함					
밖에서 운동하면 날씨가 안 좋을 때 어떻게 하시나요?	밖에서 운동하면 날씨가 안 좋을 때 어떻게 해?			밖에서 운동하면 날씨 안 좋을 때 어케함?	밖에서 운동하면 날씨가 안 좋을 때 어캄?						밖에서 운동하면 날씨 안좋을때는 어떻게 하는데 ㅡㅡ					
원래는 집에서 쉬었는데, 이제는 피아노를 대신 연습합니다.	원래는 집에서 쉬었는데, 이제는 피아노를 대신 연습해.			원래는 집에서 쉬었는데, 이젠 대신에 피아노 연습함 ㅋㅋ	원랜 집에서 쉬었는데 이젠 피아노 연습함						원래는 집에서 쉬었는데 이제 피아노 대신 연습함					
피아노를 잘 치시나요?	피아노를 잘 쳐?			피아노 잘 침?	피아노 잘 침?						피아노 잘치냐					
아직 한 곡 밖에 안 배워서 잘 치지는 않습니다.	아직 한 곡 밖에 안 배워서 잘 치지는 않아.			아직 한 곡 밖에 안 배워서 잘 치지는 않음 ㅋㅋ…	아직 한 곡밖에 안 배워서 잘 치진 않음						아직 한곡밖에 안배워서 잘 치지는 않음					
어떤 곡은 연습했나요?	어떤 곡을 연습했어?			무슨 곡 연습했음?	어떤 곡 연습함?						어떤 곡 연습했는데					
파헬벨의 캐논 변주곡을 연습했습니다.	파헬벨의 캐논 변주곡을 연습했어.			파헬벨의 캐논 변주곡 연습했음!	파헬벨의 캐논 변주곡						파헬벨의 캐논 변주곡 연습함					
저도 피아노를 배울 때 그 곡을 배웠던 것 같아요.	나도 피아노를 배울 때 그 곡을 배웠던 것 같아.			나도 피아노 배울 때 그 곡 배웠던거 같음	나도 피아노 배울 때 그 곡 배웠던 듯						나도 피아노 처음 배울 때 그 곡 배운듯					
처음에 배우기는 어려웠지만, 한 곡이라도 칠 수 있어서 기쁩니다.	처음에 배우기는 어려웠지만, 한 곡이라도 칠 수 있어서 기뻐.			첨엔 배우기 어려웠는데 한 곡이라도 칠 수 있어서 좋음 ㅎㅎ	첨에 배우긴 어려웟는데 한 곡이라도 칠 수 있어서 기쁨 ㅎㅎ						처음에는 배우기 어려웠는데 한 곡이라도 칠 수 있어서 기쁨					
그렇게 한 곡 한 곡씩 연습하면서 잘하게 되는겁니다.	그렇게 한 곡 한 곡씩 연습하면서 잘하게 되는거야.			그렇게 한 곡 한 곡씩 연습하면서 잘하게 되는거임 ㅋㅋ	그렇게 한곡씩 연습하면서 잘하게 되는 거						그렇게 한곡 한곡씩 연습하면서 잘하게 되는거임					
저도 그랬으면 좋겠네요.	나도 그랬으면 좋겠다.			나도 그랬으면 좋겠다…	나도 그랬음 좋겟다						나도 그랬으면 좋겠다					
																
안녕하세요. 나이가 어떻게 되세요?	안녕하세요. 몇 살이야?			하이~ 몇 살임?	ㅎㅇ 몇살임?						ㅎㅇ 몇살이냐					
올해 대학생이 됩니다.	올해 대학생이 돼.			올해 대학생 됨	올해 대학 들어감						올해 대학생 됨 왜					
대학생이 된 기분이 어때요?	대학생이 된 기분이 어때?			대학생 되는 기분이 어떰?	대학생 된 기분 어떰?						대학생 된 기분이 어떻냐					
수능 공부를 한 보람이 있는 것 같습니다.	수능 공부를 한 보람이 있는 것 같다.			수능 공부한 보람이 있는 듯	수능 공부 한 보람이 있는 듯						수능공부한 보람 있는듯					
수능 결과에 만족하시나요?	수능 결과에 만족해?			수능 결과에 만족함?	수능 결과에 만족함?						수능 결과에 만족은 하냐					
되돌아보면 더 열심히 할 수 있었다는 생각도 있지만, 후회는 없습니다.	되돌아보면 더 열심히 할 수 있었다는 생각도 있지만, 후회는 없어.			되돌아보면 더 열심히 할 수 있었을 것 같긴한데 후회는 없음 ㅋ	되돌아보면 더 열심히 할 수 있었다는 생각도 있는데 후회는 안함						되돌아보면 더 열심히 할 수 있었을 것 같은데 후회는 없음					
구체적인 장래희망이 있으신가요?	구체적인 장래희망이 있어?			구체적인 장래희망 있음?	구체적인 장래희망 있음?						장래희망은 있냐 구체적으로					
아니요, 대학교에서 수업을 들으면서 제가 하고 싶은 것을 찾고자 합니다.	아니, 대학교에서 수업을 들으면서 내가 하고 싶은 것을 찾고자 해.			ㄴㄴ 대학에서 수업 들으면서 내가 하고 싶은 거 찾을려구	ㄴㄴ 대학에서 수업 들으면서 내가 하고 싶은 거 찾으려고 						ㄴ 대학교에서 수업 들으면서 하고싶은거 찾아볼거임					
대학교에 가면 가장 기대되는 것이 뭐에요?	대학교에 가면 가장 기대되는 것이 뭐야?			대학가면 가장 기대되는게 뭐임?	대학 가면 가장 기대되는 게 뭐임?						대학교 가면 뭐가 제일 기대되는데					
자유로운 면학 분위기가 제일 기대됩니다.	자유로운 면학 분위기가 제일 기대돼.			자유로운 면학 분위기가 기대됨 ㅋㅋ	자유로운 면학 분위기 ㅋㅋ						자유로운 면학 분위기 제일 기대됨					
파티는 자주 가실건가요?	파티는 자주 갈 거야?			파티는 자주 갈 거임?	파티는 자주 갈 거?						파티는 자주 갈거?					
자주 가고 싶다는 마음은 없지만, 한번쯤은 가보고 싶습니다.	자주 가고 싶다는 마음은 없지만, 한번쯤은 가보고 싶어.			자주 가고 싶은 맘은 없는데 한 번 쯤은 가보고 싶음	자주 가고 싶단 맘은 없는데 한번쯤은 가보고 싶음						자주 가고 싶다는 마음은 없는데 한번쯤 가보고 싶음					
저도 대학교에 다시 가고 싶네요.	나도 대학교에 다시 가고 싶네.			나도 대학 다시 가고 싶어지네…	나도 대학 다시 가고 싶네						나도 대학교 다시 가고 싶다					
아마도 수능을 치면 다시 갈 수 있을 겁니다.	아마도 수능을 치면 다시 갈 수 있을 거야.			아마 수능 치면 다시 갈 수 있을 거임 ㅋㅋㅋ	아마도 수능 치면 다시 쌉가능						수능 치면 다시 갈 수 있을듯					
수능은 다시 치고 싶지 않지요.	수능은 다시 치고 싶지 않지.			수능은 다시 치고 싶지 않지 ㅋㅋㅋㅋㅋ;;;	수능은 다신 ㄴㄴ,,,						수능은 다시 치기 싫지 ㅡㅡ					
그럼 어떻게 대학교에 다시 갈 건가요?	그럼 어떻게 대학교에 다시 갈 거야?			그럼 어케 대학교 다시 갈 거임?	그럼 어케 대학 다시 갈거?						그럼 어떻게 대학교에 다시 간다는 소리 ㅡㅡ					
																
새 차를 사야 하는데 고민이 있습니다.	새 차를 사야 하는데 고민이 있어.			새 차 사야하는데 고민 있다..	새 차를 사야 하는데 고민되누						새차 사야되는데 고민됨					
어떤 문제가 있으신가요?	어떤 문젠데?			무슨 문젠데?	왜?						뭔데 ㅡㅡ					
어떤 차를 사야 할지 잘 모르겠어요.	어떤 차를 사야 할지 잘 모르겠어.			무슨 차를 사야 할지 잘 몰겠음	어떤 차를 사야할지 잘 모르겟음						어떤 차 사야될지 모르겠음					
차는 한 번 사면 10년도 넘게 써서, 신중하게 골라야 해요.	차는 한 번 사면 10년도 넘게 써서, 신중하게 골라야 해.			차는 한 번 사면 10년도 넘게 써서 신중하게 골라야함	차는 한번사면 10년도 넘게 써서 신중하게 골라야 함						차 한번 사면 10년도 넘게 탄다 ㅡㅡ 신중하게 고르셈					
어떤 기준으로 차를 고르면 될까요?	어떤 기준으로 차를 고르면 될까?			어떤 기준으로 차 고르면 됨?	어떤 기준으로 골라야 할까						어떤 기준으로 차 고르라는 소린데					
디자인, 크기로도 차를 고를 수 있겠지만, 연비도 큰 고려사항입니다.	디자인, 크기로도 차를 고를 수 있겠지만, 연비도 큰 고려사항이야.			디자인이나 크기로도 차 고를 순 있는데, 연비도 크게 고려해야함	디자인, 크기로도 차를 고를 수 있는데 연비도 큰 고려 사항임						디자인 크기로도 고를 수 있는데 연비도 중요함					
가능하면 연비가 좋은 차를 사고 싶어요.	가능하면 연비가 좋은 차를 사고 싶어.			가능하면 연비 좋은 차로 사고 싶음	가능하면 연비 좋은 차 사고 싶음						가능하면 연비 좋은 차 타고 싶음					
도시에서 차를 주로 타시나요, 고속도로를 주로 이용하시나요?	도시에서 차를 주로 타, 고속도로를 주로 이용해?			도시에서 차를 주로 탐? 아니면 고속도로를 주로 이용함?	차를 보통 도시에서 탐? 아님 고속도로?						차 도시에서 주로 타냐 아니면 고속도로 이용하냐					
도시에서 차를 주로 탑니다.	도시에서 차를 주로 타.			도시에서 차 주로 탐	도시						도시에서 차 주로 탐					
그러면 하이브리드 차를 사는 것도 좋은 선택일 수 있어요.	그러면 하이브리드 차를 사는 것도 좋은 선택일 수 있어.			그럼 하이브리드 차 사는게 좋은 선택 일 듯	그럼 하이브리드 차 사는 것도 좋음						그럼 하이브리드 차 사는것도 좋은 선택일듯					
하이브리드 차는 도시에서 연비가 좋나요?	하이브리드 차는 도시에서 연비가 좋아?			하이브리드 차는 도시에서 연비 좋음?	하이브리드는 도시에서 연비가 좋음?						하이브리드 차 도시에서 연비 좋냐					
네, 브레이크를 밟을 때마다 낭비되는 에너지를 모아서 재활용합니다.	응, 브레이크를 밟을 때마다 낭비되는 에너지를 모아서 재활용해.			ㅇㅇ 브레이크 밝을 때마다 낭비되는 에너지를 모아서 재활용함	ㅇㅇ 브레이크 밟을 때마다 낭비되는 에너지 모아서 재활용함						ㅇ 브레이크 밟을 때마다 낭비되는 에너지 모아서 재활용함					
																
안녕하세요. 직업이 어떻게 되세요?	안녕. 직업이 어떻게 돼?			하이~ 직업이 뭐임?	ㅎㅇ 직업이 뭐임?						ㅎㅇ 직업이 뭐냐					
저는 코미디 연극 배우입니다.	나는 코미디 연극 배우야.			난 코미디 연극 배우임	난 코미디 연극배우						난 코미디 연극 배우임					
저는 컴퓨터 프로그래머입니다.	나는 컴퓨터 프로그래머야.			난 컴퓨터 프로그래머임	난 컴터 프로그래머						난 컴퓨터 프로그래머임					
멋있는 직업이네요. 어떤가요?	멋있는 직업이네. 어때?			멋있는 직업이당 그거 어떰?	믓찐 직업이네 어떰?						멋있네. 어떤데					
별로 좋아하지는 않지만, 돈은 많이 줍니다.	별로 좋아하지는 않지만, 돈은 많이 줘.			별로 좋아하지는 않은데, 돈은 많이 줌 ㅋㅋ	ㅂㄹ 좋아하진 않지만 돈은 많이 줌						별로 좋아하지는 않는데 돈은 많이 줌					
따로 하고 싶은 일이 있나요?	따로 하고 싶은 일이 있어?			따로 하고 싶은 일 있음?	따로 하고 싶은 일 있음?						따로 하고싶은 일 있냐					
아마도 기부 관련 일을 하고 싶습니다.	기부 관련 일을 하고 싶어.			기부 관련 일 하고 싶음	기부 관련 일 하고 싶음						기부 관련 일 하고싶음					
나눔을 하고 싶으신거네요. 어디서 오셨어요?	나눔을 하고 싶은거네. 어디서 왔어?			나눔을 하고 싶단 거네, 어디서 왔음?	나눔을 하는 거네 어디서 옴?						나눔 한다는 소리네 ㅡㅡ 어디서 옴					
저는 미국 사람입니다. 페이스북을 만들었어요.	나는 미국 사람이야. 페이스북을 만들었어.			나 미국 사람임. 페이스북 만들었음!	난 미국 페이스북 만듦						난 미국사람임. 페이스북 만들었다					
페이스북을 만든 사람은 마크 저커버그 아닌가요?	페이스북을 만든 사람은 마크 저커버그 아니야?			페이스북 만든 건 마크 저커버그 아님?	페이스북 만든 사람은 마크 저커버그 아님?						페이스북 만든사람은 마크 저커버근데 ㅡㅡ					
아니요, 제가 코딩을 했던 사람 중 한명입니다.	내가 코딩을 했던 사람 중 한명이야.			내가 코딩 했던 사람 중 한명임 ㅋㅋ	코딩했던 사람 중 한명임						내가 코딩했던 사람 중 한명임					
신기하네요. 저는 아직 무명 배우입니다.	신기하네. 나는 아직 무명 배우야.			신기하네 ㄷㄷㄷ 난 아직 무명 배우임	신기하네 난 아직 무명 배우임						ㅇㅎ 난 아직 무명배우임					
열심히 하시면 분명히 잘 될거에요.	열심히 하면 분명히 잘 될거야.			열심히 하면 분명 잘 될거임	열심히 하면 분명 잘 될 듯						열심히 하면 분명히 잘될듯					
그랬으면 좋겠네요. 하지만 요즘은 일이 별로 없어요.	그랬으면 좋겠다. 하지만 요즘은 일이 별로 없어.			그랬으면 좋겠다…근데 요즘은 일이 별로 없음..ㅠ	그랬으면 좋겟다 요즘 일이 별로 없음						그랬으면 좋겠다 ㅋ 근데 요즘 일 별로 없음					
연극이 인기가 없나요?	연극이 인기가 없나?			연극이 인기가 없나?	연극이 인기가 없나?						연극이 인기도 없냐 ㅡㅡ					
네, 사람들이 연극을 보러 자주 안 가서 저 같은 배우들은 돈을 못 벌어요.	맞아, 사람들이 연극을 보러 자주 안 가서 나 같은 배우들은 돈을 못 벌어.			ㅇㅇ 사람들이 연극을 보러 자주 안가서 나 같은 배우들은 돈을 잘 못 범..ㅠㅠ	ㅇㅇ 사람들이 연극 보러 자주 안 와서 나 같은 배우들은 돈 못 범						ㅇ 사람들이 연극을 보러 자주 안가서 나같은 배우들이 돈을 못범					
																
